seed,diff_likelihood,diff_standard,homosexual,m_inpool,f_inpool,m_outpool,f_outpool,m_exp_all,f_exp_all,m_exp_ip,f_exp_ip,m_partner_all,f_partner_all,m_partner_ip,f_partner_ip,lt_likelihood
-1600603677,1,1,0,68,136,82,14,5.413333333333333,5.413333333333333,11.941176470588236,5.970588235294118,3.1066666666666665,3.1066666666666665,6.852941176470588,3.426470588235294,0
-678007365,1,1,0,71,136,79,14,5.326666666666667,5.326666666666667,11.253521126760564,5.875,3.12,3.12,6.591549295774648,3.4411764705882355,0
1694233164,1,1,0,78,138,72,12,6.273333333333333,6.273333333333333,12.064102564102564,6.818840579710145,3.7533333333333334,3.7533333333333334,7.217948717948718,4.079710144927536,0
-1832975722,1,1,0,62,133,88,17,4.74,4.74,11.46774193548387,5.345864661654136,2.8533333333333335,2.8533333333333335,6.903225806451613,3.218045112781955,0
860396061,1,1,0,79,130,71,20,6.206666666666667,6.206666666666667,11.784810126582279,7.161538461538462,3.6466666666666665,3.6466666666666665,6.924050632911392,4.207692307692308,0
1736194359,1,1,0,78,133,72,17,6.306666666666667,6.306666666666667,12.128205128205128,7.112781954887218,3.546666666666667,3.546666666666667,6.82051282051282,4,0
406662137,1,1,0,81,131,69,19,5.326666666666667,5.326666666666667,9.864197530864198,6.099236641221374,3.2266666666666666,3.2266666666666666,5.9753086419753085,3.6946564885496183,0
-1509198786,1,1,0,78,133,72,17,6.44,6.44,12.384615384615385,7.2631578947368425,3.76,3.76,7.230769230769231,4.2406015037593985,0
-122127545,1,1,0,66,129,84,21,5.153333333333333,5.153333333333333,11.712121212121213,5.992248062015504,2.9,2.9,6.590909090909091,3.372093023255814,0
1747975465,1,1,0,76,137,74,13,6.086666666666667,6.086666666666667,12.013157894736842,6.664233576642336,3.453333333333333,3.453333333333333,6.815789473684211,3.781021897810219,0
1195694610,1,1,0,63,121,87,29,4.733333333333333,4.733333333333333,11.26984126984127,5.867768595041323,2.8066666666666666,2.8066666666666666,6.682539682539683,3.479338842975207,0
-531490326,1,1,0,65,139,85,11,4.986666666666666,4.986666666666666,11.507692307692308,5.381294964028777,3,3,6.923076923076923,3.237410071942446,0
694391675,1,1,0,76,133,74,17,6.26,6.26,12.355263157894736,7.06015037593985,3.72,3.72,7.342105263157895,4.195488721804511,0
-1603686719,1,1,0,69,132,81,18,4.913333333333333,4.913333333333333,10.681159420289855,5.583333333333333,2.9,2.9,6.304347826086956,3.2954545454545454,0
1646605481,1,1,0,73,132,77,18,5.773333333333333,5.773333333333333,11.863013698630137,6.5606060606060606,3.38,3.38,6.945205479452055,3.840909090909091,0
686118780,1,1,0,92,138,58,12,7.1066666666666665,7.1066666666666665,11.58695652173913,7.72463768115942,4.113333333333333,4.113333333333333,6.706521739130435,4.471014492753623,0
2012767000,1,1,0,76,132,74,18,5.68,5.68,11.210526315789474,6.454545454545454,3.2666666666666666,3.2666666666666666,6.447368421052632,3.712121212121212,0
-1570053271,1,1,0,81,134,69,16,6.433333333333334,6.433333333333334,11.91358024691358,7.201492537313433,3.6533333333333333,3.6533333333333333,6.765432098765432,4.08955223880597,0
1868003168,1,1,0,70,133,80,17,5.493333333333333,5.493333333333333,11.771428571428572,6.195488721804511,3.24,3.24,6.942857142857143,3.654135338345865,0
