dlikelihood_dstandard_lt,m_inpool.mean_0,m_inpool.mean_1,m_inpool.sd_0,m_inpool.sd_1,m_outpool.mean_0,m_outpool.mean_1,m_outpool.sd_0,m_outpool.sd_1,m_exp_all.mean_0,m_exp_all.mean_1,m_exp_all.sd_0,m_exp_all.sd_1,m_exp_ip.mean_0,m_exp_ip.mean_1,m_exp_ip.sd_0,m_exp_ip.sd_1,m_partner_all.mean_0,m_partner_all.mean_1,m_partner_all.sd_0,m_partner_all.sd_1,m_partner_ip.mean_0,m_partner_ip.mean_1,m_partner_ip.sd_0,m_partner_ip.sd_1,m_inpool.statistic,m_inpool.p.value,m_inpool.parameter,m_inpool.conf.low,m_inpool.conf.high,m_outpool.statistic,m_outpool.p.value,m_outpool.parameter,m_outpool.conf.low,m_outpool.conf.high,m_exp_all.statistic,m_exp_all.p.value,m_exp_all.parameter,m_exp_all.conf.low,m_exp_all.conf.high,m_exp_ip.statistic,m_exp_ip.p.value,m_exp_ip.parameter,m_exp_ip.conf.low,m_exp_ip.conf.high,m_partner_all.statistic,m_partner_all.p.value,m_partner_all.parameter,m_partner_all.conf.low,m_partner_all.conf.high,m_partner_ip.statistic,m_partner_ip.p.value,m_partner_ip.parameter,m_partner_ip.conf.low,m_partner_ip.conf.high,m_inpool.d,m_outpool.d,m_exp_all.d,m_exp_ip.d,m_partner_all.d,m_partner_ip.d
0_0_0,70.79,61.95,6.476523259848106,8.109571598743766,79.21,88.05,6.476523259848106,8.109571598743766,1.9988,1.0501333333333334,0.2697538138558689,0.2230298052988151,4.234402434114737,2.524229048631628,0.4107406557378,0.30159849250722465,1.3745333333333334,0.8492,0.18278155103409297,0.17399712318790087,2.9102988999171315,2.042182148837502,0.2553820532757566,0.22262579793010723,8.517717534809776,4.075957924430895e-15,198,6.793367855551657,10.88663214444835,-8.517717534809776,4.075957924430895e-15,198,-10.88663214444835,-6.793367855551657,27.103720462495637,1.4919962686085595e-68,198,0.8796434028717179,1.0176899304616152,33.56059421295953,1.2039501531667446e-83,198,1.60968375216783,1.8106630187983885,20.81706365149257,9.481656938457887e-52,198,0.47556807669738776,0.5750985899692791,25.62363800732981,8.63844658241061e-65,198,0.8013057305117542,0.9349277716475052,1.2045871658191112,-1.2045871658191112,3.8330449068830506,4.746184749726737,2.943977374472478,3.6237296387304525
0_0_2,53.75,46.71,6.328347319638817,8.495150131550105,96.25,103.29,6.328347319638817,8.495150131550105,0.9260666666666667,0.6090666666666666,0.15736350506795635,0.1549469189729643,2.580832561110002,1.9379542219450165,0.2657946131306996,0.2397252540111146,0.6709333333333334,0.5130666666666667,0.10263649038353348,0.12911133712318748,1.8711916423833572,1.6310396769551598,0.16378656894937257,0.17785337442996316,6.6457825519844596,2.856919861093234e-10,198,4.9510055233717924,9.128994476628206,-6.645782551984467,2.8569198610931163e-10,198,-9.128994476628213,-4.9510055233718004,14.354060724375067,1.7028466466989233e-32,198,0.2734492896834023,0.3605507103165978,17.960931108605795,1.958881625910502e-43,198,0.572293617621886,0.713463060708085,9.571371286119039,4.452050904845936e-18,198,0.12534093795672582,0.19039239537660765,9.932639605198872,4.0222374821715575e-19,198,0.19247240672224503,0.28783152413414975,0.9398555817598903,-0.9398555817598911,2.029970735153819,2.5400592366639145,1.353596308333796,1.4046873639836392
0_0_4,44.71,38.59,5.827997559673095,7.261486894513542,105.29,111.41,5.827997559673095,7.261486894513542,0.6850666666666667,0.4496,0.1332394282113165,0.11405521729667868,2.2900681550257307,1.737956291148925,0.25565851463116307,0.23979289860869404,0.47713333333333335,0.372,0.07811617582039965,0.09081746224053747,1.5974897301289668,1.435914036674631,0.1227219836313111,0.15292253560873428,6.572869794372745,4.2764823248006464e-10,198,4.2838542460264915,7.956145753973504,-6.572869794372737,4.276482324800822e-10,198,-7.956145753973495,-4.2838542460264835,13.425387393920222,1.2089875323257975e-29,198,0.20087962880399723,0.2700537045293362,15.75137414847686,9.000141883966304e-37,198,0.48298937113282325,0.6212343566207882,8.776376885995736,7.871476675515476e-16,198,0.08151028551648905,0.12875638115017765,8.240442251357154,2.319004050020496e-14,198,0.12290906831865255,0.20024231859001893,0.9295441606914392,-0.9295441606914381,1.8986364932594761,2.2275806946788936,1.2411671220672924,1.165374519182157
0_0_6,39.93,34.72,6.057393845707922,7.726485996789605,110.07,115.28,6.057393845707922,7.726485996789605,0.5929333333333333,0.39626666666666666,0.12212418473961863,0.1304892632037127,2.2242769338808843,1.6833587585981165,0.2943092307135345,0.27262939730752467,0.3982,0.31706666666666666,0.07337834553677895,0.09604675255127235,1.4937231996154743,1.351116147080624,0.13423910382666052,0.15767499998050724,5.306649060922538,2.9779191618947575e-7,198,3.273898527757353,7.146101472242649,-5.306649060922545,2.977919161894667e-7,198,-7.146101472242656,-3.27389852775736,11.004018364764027,2.771035839508111e-22,198,0.1614222594766218,0.23191107385671147,13.483207522761184,8.034761217792158e-30,198,0.4618049454421506,0.6200314051233851,6.7124910504934805,1.970659190035724e-10,198,0.057297718482615514,0.10496894818405116,6.8866149918149855,7.399195284685403e-11,198,0.10177079257321574,0.1834433124964846,0.7504735072711103,-0.7504735072711113,1.5562032012051894,1.9068134942979809,0.9492895880915905,0.9739144320266633
0_0_8,35.8,33.09,5.371078555419279,8.079272644529732,114.2,116.91,5.371078555419279,8.079272644529732,0.5252666666666667,0.36613333333333337,0.11482400528004669,0.119594075879241,2.2026324807472726,1.6387575113048518,0.36982344704754827,0.2604004537024721,0.34400000000000003,0.29213333333333336,0.06478835438717001,0.08612042308725192,1.4396807422472195,1.3110871469147982,0.15297757375809418,0.14062847023328817,2.793322678803085,0.0057290983302488545,198,0.7968062950656518,4.623193704934336,-2.793322678803085,0.0057290983302488545,198,-4.623193704934336,-0.7968062950656518,9.59831849744903,3.725035496248487e-18,198,0.12643867804312925,0.1918279886235373,12.466759677938654,1.0417126413411867e-26,198,0.47468007648056876,0.6530698624042728,4.812742221312491,2.947964542118048e-6,198,0.03061433930725882,0.07311899402607452,6.188502056987851,3.4277327518257652e-09,198,0.08761618024907318,0.1695710104157695,0.3950354816447668,-0.3950354816447668,1.3574072195068967,1.7630660615386882,0.6806245321585741,0.8751863539766016
0_1_0,73.9,130.19,5.904116009919339,5.01249952769589,76.1,19.81,5.904116009919339,5.01249952769589,3.6351999999999998,3.4354666666666667,0.3885003311390789,0.32765929034584673,7.373162579354749,3.9548280657637997,0.4457007926603899,0.30876195828764297,2.506133333333333,2.793066666666667,0.250022095544337,0.2509115502734102,5.084178567357994,3.2155739894802347,0.25505872718599976,0.2310929636942314,-72.67992790772497,9.74156892572777e-145,198,-57.81731114384619,-54.7626888561538,72.67992790772497,9.74156892572777e-145,198,54.7626888561538,57.81731114384619,3.9300143182030616,1.173409541666957e-4,198,0.09951038442053281,0.29995628224613335,63.045391398454605,5.150411292249904e-133,198,3.311411307050944,3.5252577201309543,-8.100561326240474,5.518902007422008e-14,198,-0.35678498009196347,-0.21708168657470397,54.291712221297814,7.317708001138222e-121,198,1.8007319554097145,1.9364772003458042,-10.278493975940348,10.278493975940348,0.5557879549123222,8.915964756081458,-1.1455923690404264,7.67800757478165
0_1_2,66.89,113.16,5.568480923733132,6.058169207063644,83.11,36.84,5.568480923733132,6.058169207063644,1.6590666666666667,2.0068,0.19056068255905712,0.21702607848594005,3.7194497791413217,2.656456021841502,0.2790993086352664,0.21255474838726862,1.2118,1.6704,0.13390736701360487,0.1660265688039765,2.717323183437534,2.2115396103074194,0.1956184487870824,0.1551915865381907,-56.230900209830374,1.070228188690237e-123,198,-47.89268874158152,-44.64731125841847,56.230900209830374,1.070228188690237e-123,198,44.64731125841847,47.89268874158152,-12.040032254858207,2.077731950936105e-25,198,-0.40468801555047756,-0.29077865111618934,30.30010435592586,2.769405216943965e-76,198,0.9938110824283991,1.1321764321712404,-21.50044364532092,1.1143611179521256e-53,198,-0.5006627234607111,-0.4165372765392892,20.2555009100169,3.8085166208394625e-50,198,0.45654193498717244,0.5550252112730567,-7.952250170119023,7.952250170119023,-1.7027176906229993,4.285081852147045,-3.0406219000251276,2.864560409960647
0_1_4,59.03,100.43,6.42981533580283,7.25335867865447,90.97,49.57,6.42981533580283,7.25335867865447,1.2484666666666666,1.5245333333333333,0.1930669359337371,0.19536464510416898,3.1768086242071853,2.2724813526027963,0.38909571253352937,0.1934719963624646,0.8751333333333333,1.2596,0.12167132042204336,0.15400036439387266,2.2243730334548104,1.877411866807924,0.2022779089322202,0.13865916795727432,-42.711351203918085,7.36547417915509e-102,198,-43.31147133680319,-39.48852866319683,42.71135120391808,7.365474179155508e-102,198,39.488528663196824,43.31147133680318,-10.050943660059602,1.819135714561086e-19,198,-0.3302315600465834,-0.22190177328674995,20.8110365222926,9.863084311577557e-52,198,0.8186347986044222,0.9900197446043559,-19.58914254939652,3.1943969698760375e-48,198,-0.4231705039786011,-0.3457628293547323,14.147814159254347,7.317378683713758e-32,198,0.29859938601729136,0.39532294727648143,-6.040297213986138,6.040297213986137,-1.4214180838704167,2.9431250096868005,-2.7703231068616425,2.000803066195161
0_1_6,53.73,92.04,5.97782940911201,7.453451508793721,96.27,57.96,5.97782940911201,7.453451508793721,1.0457333333333334,1.2948,0.16334335157896848,0.1893021741325575,2.919903441727849,2.103991094805915,0.32611739401679035,0.1998688028226356,0.7075333333333333,1.0610666666666666,0.09326430829045947,0.1381640723438775,1.9757688378137002,1.7257801495612686,0.1473401883482858,0.13638139625528278,-40.0963086835583,5.490591980115933e-97,198,-40.19416320744479,-36.42583679255523,40.096308683558284,5.490591980116402e-97,198,36.425836792555216,40.194163207444774,-9.961362719072604,3.318320704862067e-19,198,-0.2983735570655762,-0.1997597762677569,21.331490598835376,3.325638933070694e-53,198,0.7404842655575524,0.891340428286316,-21.208272812896304,7.398252107240951e-53,198,-0.3864060674065732,-0.3206605992600933,12.451430750650891,1.1602036859968827e-26,198,0.21039628538986113,0.2895810911150021,-5.6704743541386256,5.670474354138623,-1.408749425703021,3.0167283310507167,-2.9993027046506544,1.76089822385199
0_1_8,51.97,84.97,5.817866942237142,8.318720521276761,98.03,65.03,5.817866942237142,8.318720521276761,0.9796666666666667,1.1589333333333334,0.14469558586959697,0.16770108622482938,2.8327127679019353,2.0426747915681442,0.3221122415117268,0.188093452879916,0.6468,0.9138666666666667,0.08378252002761273,0.12574243712377758,1.869969609323597,1.6093178538678465,0.16456902923138453,0.10908464685869688,-32.50818397216396,2.520797081368715e-81,198,-35.0018521128194,-30.998147887180593,32.50818397216396,2.520797081368715e-81,198,30.998147887180593,35.0018521128194,-8.093450310243293,5.766522766998991e-14,198,-0.22294606004141837,-0.13558727329191497,21.180152370007928,8.881573697127466e-53,198,0.7164800212129949,0.8635959314545872,-17.6750376088422,1.3944518474548862e-42,198,-0.29686349913002064,-0.23726983420331269,13.201589521373405,5.874373844661996e-29,198,0.2217163063149274,0.2995872045965734,-4.597351466155396,4.597351466155396,-1.1445867195138801,2.9953258734793864,-2.4996277901879163,1.8669866946008808
1_0_0,72.68,73.5,6.116511846773222,6.846808590780662,77.32,76.5,6.116511846773222,6.846808590780662,3.2092,2.7573333333333334,0.43571712113718497,0.5300301751145745,6.619898669136918,5.593626236600694,0.6627382032363254,0.714119227474644,1.8490666666666666,1.7289333333333334,0.24187171377803962,0.31835184426233515,3.8141685383778414,3.5079240416934265,0.35927278124142176,0.401489244855538,-0.8931502504855058,0.37286097573996346,198,-2.630506497587327,0.9905064975873408,0.8931502504855058,0.37286097573996346,198,-0.9905064975873408,2.630506497587327,6.585680527306054,3.984647338843733e-10,198,0.31655962275167554,0.5871737105816577,10.533834688827541,6.933135359902499e-21,198,0.8341460859808197,1.2183987790916286,3.0047438031251126,0.0030015757257933783,198,0.04128966195021114,0.19897700471645527,5.684166736249358,4.6564847167579375e-8,198,0.19999858097235376,0.41249041239647605,-0.12631051974735294,0.12631051974735294,0.9313558719172618,1.4897091880736084,0.42493494378360475,0.8038625689193853
1_0_2,61.31,65.58,5.924942995080163,7.3857356376390095,88.69,84.42,5.924942995080163,7.3857356376390095,1.4303333333333332,1.546,0.20116021499979916,0.36517972144716493,3.5009777650033995,3.5079328667709766,0.36656842935336026,0.5419736592413612,0.9115333333333333,1.0484,0.1213942755895165,0.23308138393616554,2.23085538037822,2.3794149927872414,0.203796468719166,0.3197877831157717,-4.509651087784383,1.1109212747707292e-5,198,-6.137220870627948,-2.4027791293720435,4.509651087784383,1.1109212747707292e-5,198,2.4027791293720435,6.137220870627948,-2.7743182080273514,0.0060611710380871235,198,-0.19788387145945063,-0.03344946187388297,-0.10629843923800318,0.9154531890871583,198,-0.13598411051043277,0.12207390697527863,-5.208028991468542,4.765951744112034e-7,198,-0.18869115904987,-0.08504217428346339,-3.917648812968999,1.2306494019652557e-4,198,-0.2233397078584541,-0.07377951695958866,-0.6377609729915257,0.6377609729915257,-0.3923478436130903,-0.015032869442947648,-0.7365265232967084,-0.5540392083915615
