"BehaviorSpace results (NetLogo 6.2.1)"
"casual_sex_3.1.nlogo"
"likelihoodD_standardD_Ho"
"04/14/2022 09:14:53:128 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"3","150","3","10","40","25","3","5","true","1000","1526002737","94","21","276","36","186","24"
"4","150","3","10","40","25","3","5","true","1000","1461694324","108","26","354","32","222","28"
"2","150","3","10","40","25","3","5","true","1000","559751523","109","30","346","58","240","42"
"5","150","3","10","40","25","3","5","true","1000","610638203","113","21","370","26","254","24"
"1","150","3","10","40","25","3","5","true","1000","-864810971","105","22","368","40","226","30"
"6","150","3","10","40","25","3","5","true","1000","-285896710","127","11","494","18","314","14"
"7","150","3","10","40","25","3","5","true","1000","-813458639","110","32","376","48","242","42"
"8","150","3","10","40","25","3","5","true","1000","-402924451","111","24","384","44","238","32"
"9","150","3","10","40","25","3","5","true","1000","125985049","114","41","398","72","244","56"
"10","150","3","10","40","25","3","5","true","1000","442362376","105","35","404","42","236","42"
"11","150","3","10","40","25","3","5","true","1000","1414864747","119","38","438","64","302","54"
"12","150","3","10","40","25","3","5","true","1000","-234080931","103","48","322","78","204","72"
"13","150","3","10","40","25","3","5","true","1000","2120845704","110","27","388","38","246","36"
"14","150","3","10","40","25","3","5","true","1000","-1133400666","126","27","408","40","310","36"
"15","150","3","10","40","25","3","5","true","1000","-858187628","110","26","410","38","260","36"
"16","150","3","10","40","25","3","5","true","1000","-880114142","98","24","282","32","190","28"
"17","150","3","10","40","25","3","5","true","1000","-139329009","111","28","404","44","276","32"
"18","150","3","10","40","25","3","5","true","1000","1842095600","121","34","396","50","284","44"
"19","150","3","10","40","25","3","5","true","1000","299282362","112","33","386","52","252","40"
"20","150","3","10","40","25","3","5","true","1000","-2142967491","118","37","436","62","272","48"
"21","150","3","10","40","25","3","5","true","1000","1509104986","106","27","376","52","242","40"
"22","150","3","10","40","25","3","5","true","1000","-1964045332","116","23","468","38","308","28"
"23","150","3","10","40","25","3","5","true","1000","592190413","102","30","356","38","210","36"
"24","150","3","10","40","25","3","5","true","1000","1644914720","116","26","414","34","284","30"
"25","150","3","10","40","25","3","5","true","1000","-1191206670","114","41","362","64","262","56"
"27","150","3","10","40","25","3","5","true","1000","1736428533","107","33","374","72","270","54"
"26","150","3","10","40","25","3","5","true","1000","-158139573","103","32","364","52","208","42"
"28","150","3","10","40","25","3","5","true","1000","-908598005","119","25","384","40","286","32"
"29","150","3","10","40","25","3","5","true","1000","1833165338","119","22","422","32","260","30"
"30","150","3","10","40","25","3","5","true","1000","1491307700","101","22","318","36","220","24"
"31","150","3","10","40","25","3","5","true","1000","1297586177","124","29","440","52","292","38"
"32","150","3","10","40","25","3","5","true","1000","1870655171","123","28","400","58","286","38"
"34","150","3","10","40","25","3","5","true","1000","-1145522531","107","23","310","30","214","26"
"33","150","3","10","40","25","3","5","true","1000","-1859235988","113","24","428","42","288","32"
"35","150","3","10","40","25","3","5","true","1000","597816247","112","26","456","46","276","32"
"36","150","3","10","40","25","3","5","true","1000","1569696337","117","32","388","50","284","44"
