"BehaviorSpace results (NetLogo 6.2.1)"
"casual_sex_3.1.nlogo"
"likelihoodD_standardS_He"
"04/12/2022 22:18:35:914 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"4","150","3","10","40","25","5","5","false","1000","-1572988468","58","58","195","195","92","92"
"3","150","3","10","40","25","5","5","false","1000","1300865079","46","42","96","96","60","60"
"2","150","3","10","40","25","5","5","false","1000","2069367370","40","40","85","85","65","65"
"5","150","3","10","40","25","5","5","false","1000","-916757280","40","39","120","120","61","61"
"1","150","3","10","40","25","5","5","false","1000","1634045684","42","48","135","135","67","67"
"6","150","3","10","40","25","5","5","false","1000","-618233921","40","40","116","116","56","56"
"7","150","3","10","40","25","5","5","false","1000","-1833864500","52","43","131","131","76","76"
"9","150","3","10","40","25","5","5","false","1000","1734047666","45","48","123","123","82","82"
"8","150","3","10","40","25","5","5","false","1000","1087772495","41","46","190","190","69","69"
"10","150","3","10","40","25","5","5","false","1000","707687446","32","40","120","120","53","53"
"11","150","3","10","40","25","5","5","false","1000","-805637459","42","40","115","115","65","65"
"12","150","3","10","40","25","5","5","false","1000","1084908005","38","44","135","135","60","60"
"13","150","3","10","40","25","5","5","false","1000","2000823076","45","42","143","143","72","72"
"14","150","3","10","40","25","5","5","false","1000","-16264537","44","40","97","97","63","63"
"15","150","3","10","40","25","5","5","false","1000","-1250040876","45","50","129","129","72","72"
"16","150","3","10","40","25","5","5","false","1000","1026378241","41","33","89","89","56","56"
"17","150","3","10","40","25","5","5","false","1000","-1844943358","43","50","120","120","79","79"
"18","150","3","10","40","25","5","5","false","1000","661711478","39","42","104","104","59","59"
"19","150","3","10","40","25","5","5","false","1000","490964695","46","48","161","161","73","73"
"20","150","3","10","40","25","5","5","false","1000","-480978128","43","42","121","121","64","64"
"21","150","3","10","40","25","5","5","false","1000","1359027520","36","38","120","120","56","56"
"22","150","3","10","40","25","5","5","false","1000","-1230252748","50","51","209","209","77","77"
"23","150","3","10","40","25","5","5","false","1000","-754474759","52","47","138","138","87","87"
"24","150","3","10","40","25","5","5","false","1000","-559655022","31","37","80","80","48","48"
"25","150","3","10","40","25","5","5","false","1000","-1681204401","56","58","232","232","101","101"
"26","150","3","10","40","25","5","5","false","1000","92205032","47","52","137","137","80","80"
"27","150","3","10","40","25","5","5","false","1000","1631176478","33","36","116","116","52","52"
"28","150","3","10","40","25","5","5","false","1000","188271001","47","53","114","114","79","79"
"30","150","3","10","40","25","5","5","false","1000","715226026","44","41","112","112","67","67"
"29","150","3","10","40","25","5","5","false","1000","731656565","45","44","138","138","71","71"
"31","150","3","10","40","25","5","5","false","1000","1316107426","50","48","95","95","78","78"
"32","150","3","10","40","25","5","5","false","1000","900561829","38","48","117","117","73","73"
"33","150","3","10","40","25","5","5","false","1000","-1138559298","38","40","107","107","49","49"
"34","150","3","10","40","25","5","5","false","1000","632055292","42","38","115","115","62","62"
"35","150","3","10","40","25","5","5","false","1000","-1219104818","40","48","105","105","76","76"
"36","150","3","10","40","25","5","5","false","1000","-1091931635","36","37","116","116","53","53"
"37","150","3","10","40","25","5","5","false","1000","604280503","52","47","134","134","76","76"
"38","150","3","10","40","25","5","5","false","1000","838239974","39","39","100","100","56","56"
"39","150","3","10","40","25","5","5","false","1000","2065093841","44","43","142","142","67","67"
"40","150","3","10","40","25","5","5","false","1000","-17539227","47","46","112","112","75","75"
"41","150","3","10","40","25","5","5","false","1000","-435438905","37","34","69","69","51","51"
"42","150","3","10","40","25","5","5","false","1000","-1802508051","42","35","118","118","59","59"
"43","150","3","10","40","25","5","5","false","1000","-427945806","46","54","156","156","83","83"
"44","150","3","10","40","25","5","5","false","1000","926297274","50","45","145","145","80","80"
"45","150","3","10","40","25","5","5","false","1000","1625945259","38","35","72","72","52","52"
"46","150","3","10","40","25","5","5","false","1000","-157469808","41","41","106","106","61","61"
"47","150","3","10","40","25","5","5","false","1000","-1903046614","33","35","105","105","49","49"
"48","150","3","10","40","25","5","5","false","1000","-336500234","47","48","151","151","78","78"
"49","150","3","10","40","25","5","5","false","1000","267264063","55","43","149","149","92","92"
"50","150","3","10","40","25","5","5","false","1000","-447304453","42","33","109","109","61","61"
"51","150","3","10","40","25","5","5","false","1000","-1241674139","50","49","110","110","78","78"
"52","150","3","10","40","25","5","5","false","1000","-1165282513","40","41","104","104","63","63"
"53","150","3","10","40","25","5","5","false","1000","252608096","44","48","115","115","81","81"
"54","150","3","10","40","25","5","5","false","1000","921206833","49","45","152","152","74","74"
"55","150","3","10","40","25","5","5","false","1000","1024867726","34","39","140","140","54","54"
"56","150","3","10","40","25","5","5","false","1000","1221005294","51","49","134","134","79","79"
"57","150","3","10","40","25","5","5","false","1000","999072998","38","47","149","149","62","62"
"58","150","3","10","40","25","5","5","false","1000","-30309463","38","39","100","100","56","56"
