"BehaviorSpace results (NetLogo 6.2.1)"
"casual_sex_3.1.nlogo"
"likelihoodD_standardS_Ho"
"04/14/2022 20:26:30:030 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"3","150","3","10","40","25","5","5","true","1000","2079309190","46","22","160","28","74","26"
"4","150","3","10","40","25","5","5","true","1000","1029634385","53","30","154","54","94","44"
"1","150","3","10","40","25","5","5","true","1000","-1023882095","43","18","120","22","80","22"
"2","150","3","10","40","25","5","5","true","1000","1978734428","40","34","110","56","66","48"
"5","150","3","10","40","25","5","5","true","1000","-148504652","39","34","104","58","54","42"
"6","150","3","10","40","25","5","5","true","1000","-1752315343","33","30","68","36","48","34"
"7","150","3","10","40","25","5","5","true","1000","-275787844","35","31","46","64","44","48"
"10","150","3","10","40","25","5","5","true","1000","1943576438","36","36","72","58","60","44"
"8","150","3","10","40","25","5","5","true","1000","882029280","46","29","124","32","74","32"
"9","150","3","10","40","25","5","5","true","1000","926358221","48","45","104","78","68","52"
"11","150","3","10","40","25","5","5","true","1000","-441077589","38","45","92","68","60","62"
"12","150","3","10","40","25","5","5","true","1000","2021202016","55","38","136","70","100","46"
"13","150","3","10","40","25","5","5","true","1000","-478348723","60","37","212","64","114","48"
"14","150","3","10","40","25","5","5","true","1000","2083404400","52","38","84","50","72","48"
"15","150","3","10","40","25","5","5","true","1000","-145863430","37","27","132","38","60","32"
"16","150","3","10","40","25","5","5","true","1000","9924792","51","25","114","40","76","30"
"18","150","3","10","40","25","5","5","true","1000","-967471099","43","27","84","38","72","38"
"17","150","3","10","40","25","5","5","true","1000","1060946053","39","40","74","72","60","56"
"19","150","3","10","40","25","5","5","true","1000","703093015","43","38","78","56","58","54"
"20","150","3","10","40","25","5","5","true","1000","645626767","51","38","120","60","80","48"
"21","150","3","10","40","25","5","5","true","1000","-1970586337","50","37","76","72","66","42"
"22","150","3","10","40","25","5","5","true","1000","-483099440","32","29","72","54","50","32"
"23","150","3","10","40","25","5","5","true","1000","-1798057599","49","20","152","30","84","24"
"24","150","3","10","40","25","5","5","true","1000","-732915476","56","36","136","78","106","54"
"25","150","3","10","40","25","5","5","true","1000","-2074901286","39","36","80","72","52","46"
"26","150","3","10","40","25","5","5","true","1000","72003280","55","30","130","54","82","40"
"27","150","3","10","40","25","5","5","true","1000","1963976710","49","25","106","38","76","32"
"28","150","3","10","40","25","5","5","true","1000","-172702479","33","29","64","48","44","38"
"29","150","3","10","40","25","5","5","true","1000","1878674738","52","14","114","18","86","14"
"30","150","3","10","40","25","5","5","true","1000","430843579","46","35","116","66","74","48"
"31","150","3","10","40","25","5","5","true","1000","-1180757130","56","29","130","48","88","32"
