"BehaviorSpace results (NetLogo 6.2.1)"
"casual_sex_3.1.nlogo"
"likelihoodS_standardD_He"
"04/13/2022 09:28:47:380 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"4","150","3","10","25","25","3","5","false","1000","-1051137621","36","53","100","100","65","65"
"3","150","3","10","25","25","3","5","false","1000","-776210397","52","74","157","157","105","105"
"1","150","3","10","25","25","3","5","false","1000","-195786142","49","58","136","136","82","82"
"2","150","3","10","25","25","3","5","false","1000","-1873038544","45","63","122","122","85","85"
"5","150","3","10","25","25","3","5","false","1000","-989293505","47","64","133","133","89","89"
"6","150","3","10","25","25","3","5","false","1000","1165235041","49","57","125","125","70","70"
"9","150","3","10","25","25","3","5","false","1000","-895432908","51","65","165","165","89","89"
"8","150","3","10","25","25","3","5","false","1000","-857630795","50","59","107","107","75","75"
"7","150","3","10","25","25","3","5","false","1000","1081916850","53","64","156","156","96","96"
"10","150","3","10","25","25","3","5","false","1000","1780716818","38","58","130","130","76","76"
"11","150","3","10","25","25","3","5","false","1000","-1673476467","52","68","128","128","85","85"
"12","150","3","10","25","25","3","5","false","1000","476841114","42","62","128","128","81","81"
"14","150","3","10","25","25","3","5","false","1000","-1046150332","51","61","164","164","78","78"
"13","150","3","10","25","25","3","5","false","1000","-133338327","48","64","144","144","90","90"
"15","150","3","10","25","25","3","5","false","1000","-571885177","47","59","148","148","83","83"
"16","150","3","10","25","25","3","5","false","1000","1731674820","42","57","100","100","81","81"
"17","150","3","10","25","25","3","5","false","1000","891996214","46","61","141","141","79","79"
"18","150","3","10","25","25","3","5","false","1000","-2094812056","55","68","158","158","95","95"
"19","150","3","10","25","25","3","5","false","1000","1526075616","40","47","107","107","70","70"
"20","150","3","10","25","25","3","5","false","1000","-1721563531","54","53","125","125","84","84"
"21","150","3","10","25","25","3","5","false","1000","1481350074","47","62","131","131","77","77"
"22","150","3","10","25","25","3","5","false","1000","1152736649","48","62","137","137","86","86"
"23","150","3","10","25","25","3","5","false","1000","1577130866","49","62","132","132","80","80"
"24","150","3","10","25","25","3","5","false","1000","-338246789","47","62","160","160","84","84"
"25","150","3","10","25","25","3","5","false","1000","-1123845771","43","62","141","141","80","80"
"26","150","3","10","25","25","3","5","false","1000","2120963831","54","63","149","149","87","87"
"27","150","3","10","25","25","3","5","false","1000","246528823","51","60","121","121","87","87"
"28","150","3","10","25","25","3","5","false","1000","706759577","45","50","111","111","68","68"
"29","150","3","10","25","25","3","5","false","1000","-1179310601","54","73","165","165","106","106"
"30","150","3","10","25","25","3","5","false","1000","28025433","43","61","100","100","73","73"
"31","150","3","10","25","25","3","5","false","1000","724444182","54","64","157","157","104","104"
"32","150","3","10","25","25","3","5","false","1000","1898959709","43","62","141","141","84","84"
"33","150","3","10","25","25","3","5","false","1000","-1464131006","45","64","129","129","83","83"
"34","150","3","10","25","25","3","5","false","1000","538664482","55","65","160","160","98","98"
"35","150","3","10","25","25","3","5","false","1000","-1559443410","52","67","148","148","94","94"
"36","150","3","10","25","25","3","5","false","1000","-1318176618","44","53","141","141","72","72"
"37","150","3","10","25","25","3","5","false","1000","144178584","59","72","155","155","99","99"
