"BehaviorSpace results (NetLogo 6.2.1)"
"casual_sex_3.1.nlogo"
"likelihoodS_standardS_He"
"04/13/2022 20:52:45:326 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"3","150","3","10","25","25","5","5","false","1000","1772404121","34","28","66","66","38","38"
"2","150","3","10","25","25","5","5","false","1000","-1292433639","37","32","69","69","47","47"
"4","150","3","10","25","25","5","5","false","1000","-1736217425","29","30","55","55","41","41"
"5","150","3","10","25","25","5","5","false","1000","1142395860","35","37","79","79","52","52"
"1","150","3","10","25","25","5","5","false","1000","-1788091590","31","36","62","62","42","42"
"8","150","3","10","25","25","5","5","false","1000","889865835","38","37","104","104","60","60"
"6","150","3","10","25","25","5","5","false","1000","-1827432177","32","36","77","77","47","47"
"7","150","3","10","25","25","5","5","false","1000","-324491828","33","36","59","59","42","42"
"9","150","3","10","25","25","5","5","false","1000","-1802915172","41","42","74","74","54","54"
"10","150","3","10","25","25","5","5","false","1000","-135609808","26","22","47","47","31","31"
"12","150","3","10","25","25","5","5","false","1000","-296773932","30","36","63","63","48","48"
"11","150","3","10","25","25","5","5","false","1000","-1714800887","39","37","104","104","55","55"
"13","150","3","10","25","25","5","5","false","1000","-1336629090","34","28","52","52","42","42"
"14","150","3","10","25","25","5","5","false","1000","1427401216","26","26","61","61","36","36"
"15","150","3","10","25","25","5","5","false","1000","917300239","24","27","50","50","28","28"
"16","150","3","10","25","25","5","5","false","1000","696754345","42","38","107","107","63","63"
"17","150","3","10","25","25","5","5","false","1000","-2112629804","33","36","76","76","47","47"
"19","150","3","10","25","25","5","5","false","1000","2070493047","31","31","79","79","46","46"
"18","150","3","10","25","25","5","5","false","1000","-2093593997","42","38","85","85","60","60"
"20","150","3","10","25","25","5","5","false","1000","-179299004","20","26","55","55","32","32"
"21","150","3","10","25","25","5","5","false","1000","-992044094","37","44","84","84","60","60"
"22","150","3","10","25","25","5","5","false","1000","670996401","42","41","85","85","62","62"
"23","150","3","10","25","25","5","5","false","1000","664737496","29","27","53","53","43","43"
"24","150","3","10","25","25","5","5","false","1000","1037645598","28","27","56","56","38","38"
"25","150","3","10","25","25","5","5","false","1000","496690422","34","31","75","75","43","43"
"26","150","3","10","25","25","5","5","false","1000","1529751287","26","24","37","37","30","30"
"27","150","3","10","25","25","5","5","false","1000","611815154","29","39","104","104","54","54"
"28","150","3","10","25","25","5","5","false","1000","-1005500768","48","47","108","108","70","70"
"29","150","3","10","25","25","5","5","false","1000","-1679187325","31","34","59","59","42","42"
"30","150","3","10","25","25","5","5","false","1000","53458562","30","28","51","51","34","34"
"31","150","3","10","25","25","5","5","false","1000","640064689","31","32","57","57","41","41"
"32","150","3","10","25","25","5","5","false","1000","-106811349","40","38","77","77","59","59"
"34","150","3","10","25","25","5","5","false","1000","1255335936","34","39","68","68","53","53"
"33","150","3","10","25","25","5","5","false","1000","-1388497744","27","26","51","51","33","33"
"35","150","3","10","25","25","5","5","false","1000","2085281379","41","38","95","95","62","62"
"36","150","3","10","25","25","5","5","false","1000","1226231812","36","33","68","68","57","57"
"37","150","3","10","25","25","5","5","false","1000","1500226618","37","41","103","103","58","58"
"38","150","3","10","25","25","5","5","false","1000","256955320","38","35","87","87","53","53"
"39","150","3","10","25","25","5","5","false","1000","-301341327","27","32","69","69","39","39"
"40","150","3","10","25","25","5","5","false","1000","-1644049747","35","38","93","93","56","56"
"41","150","3","10","25","25","5","5","false","1000","-29964684","30","29","66","66","42","42"
"42","150","3","10","25","25","5","5","false","1000","-1787922583","36","43","96","96","59","59"
"43","150","3","10","25","25","5","5","false","1000","-1940907716","33","32","65","65","45","45"
"44","150","3","10","25","25","5","5","false","1000","-12055375","37","34","84","84","55","55"
"45","150","3","10","25","25","5","5","false","1000","-1162363235","35","35","68","68","44","44"
"46","150","3","10","25","25","5","5","false","1000","96024934","38","37","85","85","52","52"
"47","150","3","10","25","25","5","5","false","1000","234572766","28","33","72","72","39","39"
"48","150","3","10","25","25","5","5","false","1000","1798178262","42","42","78","78","56","56"
"49","150","3","10","25","25","5","5","false","1000","125586932","34","35","71","71","46","46"
"50","150","3","10","25","25","5","5","false","1000","-1314144910","38","38","86","86","54","54"
"52","150","3","10","25","25","5","5","false","1000","-2099013902","29","24","52","52","39","39"
"51","150","3","10","25","25","5","5","false","1000","-291418080","24","24","59","59","33","33"
"53","150","3","10","25","25","5","5","false","1000","1765053071","28","32","66","66","42","42"
"54","150","3","10","25","25","5","5","false","1000","376227537","36","36","81","81","52","52"
"55","150","3","10","25","25","5","5","false","1000","-1407210866","31","28","51","51","38","38"
"56","150","3","10","25","25","5","5","false","1000","11553288","35","29","65","65","46","46"
"57","150","3","10","25","25","5","5","false","1000","-1075183227","28","28","70","70","33","33"
"58","150","3","10","25","25","5","5","false","1000","-1568473939","21","19","47","47","25","25"
"59","150","3","10","25","25","5","5","false","1000","971134713","33","25","50","50","39","39"
"60","150","3","10","25","25","5","5","false","1000","-685015167","32","34","59","59","44","44"
"61","150","3","10","25","25","5","5","false","1000","-984021462","28","31","67","67","39","39"
"62","150","3","10","25","25","5","5","false","1000","-129529488","30","31","56","56","39","39"
"63","150","3","10","25","25","5","5","false","1000","-1664183052","36","35","63","63","48","48"
"64","150","3","10","25","25","5","5","false","1000","-225690484","35","40","85","85","51","51"
"65","150","3","10","25","25","5","5","false","1000","-1305317877","39","38","98","98","51","51"
"66","150","3","10","25","25","5","5","false","1000","1380964807","29","32","52","52","37","37"
"67","150","3","10","25","25","5","5","false","1000","-1503175556","28","26","49","49","38","38"
"68","150","3","10","25","25","5","5","false","1000","-108035780","27","27","51","51","36","36"
