"BehaviorSpace results (NetLogo 6.2.1)"
"casual_sex_3.1.nlogo"
"likelihoodS_standardS_Ho"
"04/15/2022 21:26:22:506 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"2","150","3","10","25","25","5","5","true","1000","-215305148","33","19","54","24","38","20"
"4","150","3","10","25","25","5","5","true","1000","1820078194","19","35","42","62","28","44"
"3","150","3","10","25","25","5","5","true","1000","-562724957","32","45","56","66","40","60"
"5","150","3","10","25","25","5","5","true","1000","1708380437","27","31","52","42","36","42"
"1","150","3","10","25","25","5","5","true","1000","1447433838","20","41","32","86","26","58"
"6","150","3","10","25","25","5","5","true","1000","-1428327378","28","34","46","54","32","46"
"8","150","3","10","25","25","5","5","true","1000","-1897735958","31","39","52","90","44","60"
"7","150","3","10","25","25","5","5","true","1000","-896169707","34","24","64","32","44","30"
"9","150","3","10","25","25","5","5","true","1000","-1809996128","34","33","64","74","50","50"
"10","150","3","10","25","25","5","5","true","1000","-596029237","25","38","38","54","32","46"
"11","150","3","10","25","25","5","5","true","1000","92725429","12","15","14","22","14","16"
"12","150","3","10","25","25","5","5","true","1000","805171197","33","21","52","30","42","24"
"14","150","3","10","25","25","5","5","true","1000","-1303621254","25","21","42","32","30","26"
"13","150","3","10","25","25","5","5","true","1000","1819250769","8","40","14","64","8","48"
"15","150","3","10","25","25","5","5","true","1000","-1290983655","29","39","50","74","36","56"
"16","150","3","10","25","25","5","5","true","1000","1700885438","27","40","38","68","32","54"
"17","150","3","10","25","25","5","5","true","1000","645650118","29","29","44","38","38","38"
"18","150","3","10","25","25","5","5","true","1000","-1336683764","21","37","42","80","24","50"
"19","150","3","10","25","25","5","5","true","1000","1482006501","19","40","22","64","22","52"
"20","150","3","10","25","25","5","5","true","1000","-1311649431","13","33","24","40","14","38"
"21","150","3","10","25","25","5","5","true","1000","147645851","28","30","40","52","34","38"
"22","150","3","10","25","25","5","5","true","1000","-1801744623","37","30","72","36","52","34"
"23","150","3","10","25","25","5","5","true","1000","1366605426","24","29","46","42","30","38"
"24","150","3","10","25","25","5","5","true","1000","-592626497","36","27","72","60","50","34"
"25","150","3","10","25","25","5","5","true","1000","1490731034","31","24","54","30","48","30"
"26","150","3","10","25","25","5","5","true","1000","-918623943","29","22","44","26","30","26"
"27","150","3","10","25","25","5","5","true","1000","1988360871","40","22","62","32","54","24"
"28","150","3","10","25","25","5","5","true","1000","-426521790","33","36","70","72","44","52"
"29","150","3","10","25","25","5","5","true","1000","-423372440","19","28","28","42","20","32"
"30","150","3","10","25","25","5","5","true","1000","-536219030","24","29","38","48","28","36"
"31","150","3","10","25","25","5","5","true","1000","-709029069","47","14","78","18","60","16"
"32","150","3","10","25","25","5","5","true","1000","-332060361","40","21","68","34","58","26"
"33","150","3","10","25","25","5","5","true","1000","-1728302636","40","22","64","28","58","28"
"34","150","3","10","25","25","5","5","true","1000","-343769014","19","33","38","70","20","44"
"35","150","3","10","25","25","5","5","true","1000","-995940582","47","29","72","40","60","36"
"36","150","3","10","25","25","5","5","true","1000","104899353","37","36","60","54","46","44"
"37","150","3","10","25","25","5","5","true","1000","-1455906102","28","40","52","54","38","50"
"38","150","3","10","25","25","5","5","true","1000","108536599","29","26","36","30","36","28"
"39","150","3","10","25","25","5","5","true","1000","-335377350","55","30","112","36","76","32"
"40","150","3","10","25","25","5","5","true","1000","-1106263950","21","30","30","50","24","42"
"41","150","3","10","25","25","5","5","true","1000","614172442","35","20","50","32","46","26"
"42","150","3","10","25","25","5","5","true","1000","-42479865","34","20","54","24","46","24"
"43","150","3","10","25","25","5","5","true","1000","-1468262914","26","28","34","40","30","32"
"44","150","3","10","25","25","5","5","true","1000","-1613392862","36","32","52","60","44","42"
"45","150","3","10","25","25","5","5","true","1000","-328966049","22","20","32","34","24","22"
"46","150","3","10","25","25","5","5","true","1000","441233613","30","30","44","48","40","44"
"47","150","3","10","25","25","5","5","true","1000","1807328444","22","23","26","58","26","32"
"48","150","3","10","25","25","5","5","true","1000","-218424698","16","30","20","60","20","34"
"49","150","3","10","25","25","5","5","true","1000","-737549844","37","27","66","52","54","32"
"50","150","3","10","25","25","5","5","true","1000","201307723","35","36","54","42","46","42"
"51","150","3","10","25","25","5","5","true","1000","-611036918","32","26","50","48","40","32"
"52","150","3","10","25","25","5","5","true","1000","1225868557","23","37","40","62","34","52"
"53","150","3","10","25","25","5","5","true","1000","-1084219778","31","22","66","54","38","32"
"54","150","3","10","25","25","5","5","true","1000","526392076","21","39","30","62","26","54"
"55","150","3","10","25","25","5","5","true","1000","-776238117","28","23","60","28","40","24"
"56","150","3","10","25","25","5","5","true","1000","1534588697","21","26","30","44","26","36"
"57","150","3","10","25","25","5","5","true","1000","-396072056","44","23","68","58","62","30"
"58","150","3","10","25","25","5","5","true","1000","-160179179","34","34","56","78","42","46"
"59","150","3","10","25","25","5","5","true","1000","-697320458","17","27","26","48","22","34"
"60","150","3","10","25","25","5","5","true","1000","-685167930","36","23","50","38","46","28"
"61","150","3","10","25","25","5","5","true","1000","395969252","28","27","42","44","32","34"
"63","150","3","10","25","25","5","5","true","1000","1096194644","29","32","42","50","38","40"
"62","150","3","10","25","25","5","5","true","1000","1255323832","28","23","52","30","36","28"
"64","150","3","10","25","25","5","5","true","1000","945150004","36","26","80","38","48","30"
"65","150","3","10","25","25","5","5","true","1000","169135932","39","23","64","30","50","28"
"66","150","3","10","25","25","5","5","true","1000","267732534","38","39","64","64","48","52"
"67","150","3","10","25","25","5","5","true","1000","-1542224988","27","34","48","54","38","46"
"68","150","3","10","25","25","5","5","true","1000","1919957875","26","23","48","30","34","24"
"69","150","3","10","25","25","5","5","true","1000","531509627","34","37","60","72","46","50"
"70","150","3","10","25","25","5","5","true","1000","-844584334","35","44","50","92","46","60"
"71","150","3","10","25","25","5","5","true","1000","-649414103","33","21","48","30","44","28"
"72","150","3","10","25","25","5","5","true","1000","-1838859607","26","22","40","42","36","28"
"73","150","3","10","25","25","5","5","true","1000","-73592569","32","42","46","72","38","52"
"74","150","3","10","25","25","5","5","true","1000","-1094292616","26","15","34","22","34","16"
"75","150","3","10","25","25","5","5","true","1000","1281170658","40","23","62","30","54","30"
"76","150","3","10","25","25","5","5","true","1000","-2134877511","23","33","38","52","28","42"
"77","150","3","10","25","25","5","5","true","1000","1734658756","27","17","42","20","34","18"
"78","150","3","10","25","25","5","5","true","1000","-1863318339","29","32","48","66","36","46"
"79","150","3","10","25","25","5","5","true","1000","836291240","29","22","42","42","36","32"
"80","150","3","10","25","25","5","5","true","1000","1865522156","22","29","38","52","28","30"
"81","150","3","10","25","25","5","5","true","1000","-1097446206","26","34","44","56","30","48"
"82","150","3","10","25","25","5","5","true","1000","1747868224","33","21","58","38","38","24"
"83","150","3","10","25","25","5","5","true","1000","-545451370","31","28","44","50","38","38"
"84","150","3","10","25","25","5","5","true","1000","24824338","34","37","52","76","46","52"
