"BehaviorSpace results (NetLogo 6.2.1)"
"abm_short_term_mating.nlogo"
"sa_likelihoodD_standardD_He"
"11/05/2022 10:52:09:096 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"2","150","3","0","40","25","3","5","false","1000","-1600603677","68","136","812","812","466","466"
"1","150","3","0","40","25","3","5","false","1000","-678007365","71","136","799","799","468","468"
"5","150","3","0","40","25","3","5","false","1000","1694233164","78","138","941","941","563","563"
"3","150","3","0","40","25","3","5","false","1000","-1832975722","62","133","711","711","428","428"
"4","150","3","0","40","25","3","5","false","1000","860396061","79","130","931","931","547","547"
"6","150","3","0","40","25","3","5","false","1000","1736194359","78","133","946","946","532","532"
"7","150","3","0","40","25","3","5","false","1000","406662137","81","131","799","799","484","484"
"8","150","3","0","40","25","3","5","false","1000","-1509198786","78","133","966","966","564","564"
"9","150","3","0","40","25","3","5","false","1000","-122127545","66","129","773","773","435","435"
"10","150","3","0","40","25","3","5","false","1000","1747975465","76","137","913","913","518","518"
"11","150","3","0","40","25","3","5","false","1000","1195694610","63","121","710","710","421","421"
"12","150","3","0","40","25","3","5","false","1000","-531490326","65","139","748","748","450","450"
"15","150","3","0","40","25","3","5","false","1000","694391675","76","133","939","939","558","558"
"14","150","3","0","40","25","3","5","false","1000","-1603686719","69","132","737","737","435","435"
"13","150","3","0","40","25","3","5","false","1000","1646605481","73","132","866","866","507","507"
"16","150","3","0","40","25","3","5","false","1000","686118780","92","138","1066","1066","617","617"
"17","150","3","0","40","25","3","5","false","1000","2012767000","76","132","852","852","490","490"
"20","150","3","0","40","25","3","5","false","1000","-1570053271","81","134","965","965","548","548"
"19","150","3","0","40","25","3","5","false","1000","1868003168","70","133","824","824","486","486"
"18","150","3","0","40","25","3","5","false","1000","1419694383","79","133","944","944","560","560"
"21","150","3","0","40","25","3","5","false","1000","-990357489","70","139","908","908","528","528"
"22","150","3","0","40","25","3","5","false","1000","-2070343764","68","131","812","812","460","460"
"24","150","3","0","40","25","3","5","false","1000","-1524917262","80","135","938","938","528","528"
"23","150","3","0","40","25","3","5","false","1000","-1403781919","74","133","882","882","512","512"
"25","150","3","0","40","25","3","5","false","1000","1793374584","81","135","913","913","529","529"
"27","150","3","0","40","25","3","5","false","1000","1585088802","73","132","804","804","502","502"
"26","150","3","0","40","25","3","5","false","1000","-1803038479","72","127","857","857","484","484"
"29","150","3","0","40","25","3","5","false","1000","-1497496405","74","128","883","883","501","501"
"28","150","3","0","40","25","3","5","false","1000","1644657071","77","134","951","951","541","541"
"30","150","3","0","40","25","3","5","false","1000","-1129112977","65","129","750","750","424","424"
"31","150","3","0","40","25","3","5","false","1000","-1375234672","78","134","880","880","535","535"
"32","150","3","0","40","25","3","5","false","1000","1995415787","72","137","912","912","522","522"
"33","150","3","0","40","25","3","5","false","1000","545576213","72","137","940","940","524","524"
"34","150","3","0","40","25","3","5","false","1000","1966951931","77","135","1026","1026","582","582"
"35","150","3","0","40","25","3","5","false","1000","-778043940","65","133","787","787","436","436"
"37","150","3","0","40","25","3","5","false","1000","-1857272706","67","136","837","837","474","474"
"36","150","3","0","40","25","3","5","false","1000","-653995778","75","136","878","878","525","525"
"38","150","3","0","40","25","3","5","false","1000","301043597","79","131","950","950","542","542"
"39","150","3","0","40","25","3","5","false","1000","-1261680576","72","132","865","865","493","493"
"40","150","3","0","40","25","3","5","false","1000","-99965149","77","135","982","982","548","548"
"41","150","3","0","40","25","3","5","false","1000","-973366489","75","137","930","930","516","516"
"42","150","3","0","40","25","3","5","false","1000","-190575104","78","134","944","944","552","552"
"44","150","3","0","40","25","3","5","false","1000","-469580830","81","141","1011","1011","579","579"
"43","150","3","0","40","25","3","5","false","1000","1098095072","85","134","1047","1047","583","583"
"45","150","3","0","40","25","3","5","false","1000","1905763323","76","135","831","831","510","510"
"46","150","3","0","40","25","3","5","false","1000","105428638","73","136","883","883","541","541"
"47","150","3","0","40","25","3","5","false","1000","1748419129","80","128","918","918","524","524"
"48","150","3","0","40","25","3","5","false","1000","-2112852355","73","137","910","910","531","531"
"49","150","3","0","40","25","3","5","false","1000","1484270378","84","135","1044","1044","604","604"
"50","150","3","0","40","25","3","5","false","1000","1600732541","88","140","1130","1130","666","666"
"51","150","3","0","40","25","3","5","false","1000","1805129189","61","132","755","755","443","443"
"52","150","3","0","40","25","3","5","false","1000","-1996020349","88","139","1051","1051","599","599"
"53","150","3","0","40","25","3","5","false","1000","1722453226","78","130","859","859","492","492"
"54","150","3","0","40","25","3","5","false","1000","404207487","65","124","745","745","409","409"
"55","150","3","0","40","25","3","5","false","1000","-1013591728","74","140","907","907","506","506"
"56","150","3","0","40","25","3","5","false","1000","1937338576","76","136","948","948","518","518"
"57","150","3","0","40","25","3","5","false","1000","-1010703167","72","133","966","966","520","520"
"58","150","3","0","40","25","3","5","false","1000","138368237","76","140","955","955","539","539"
"59","150","3","0","40","25","3","5","false","1000","-1658890005","73","139","859","859","506","506"
"60","150","3","0","40","25","3","5","false","1000","-1299957193","67","133","811","811","462","462"
"61","150","3","0","40","25","3","5","false","1000","1671339872","78","137","910","910","512","512"
"62","150","3","0","40","25","3","5","false","1000","1001555509","68","120","727","727","403","403"
"63","150","3","0","40","25","3","5","false","1000","37038239","88","135","1087","1087","610","610"
"64","150","3","0","40","25","3","5","false","1000","128502882","78","134","923","923","535","535"
"65","150","3","0","40","25","3","5","false","1000","64399677","80","138","973","973","567","567"
"66","150","3","0","40","25","3","5","false","1000","728260052","72","136","929","929","517","517"
"67","150","3","0","40","25","3","5","false","1000","1063697718","63","117","659","659","395","395"
"68","150","3","0","40","25","3","5","false","1000","-1846804465","85","138","964","964","555","555"
"69","150","3","0","40","25","3","5","false","1000","-144785564","81","140","979","979","557","557"
"70","150","3","0","40","25","3","5","false","1000","-1504253417","85","135","1024","1024","590","590"
"71","150","3","0","40","25","3","5","false","1000","1938562841","76","131","934","934","560","560"
"72","150","3","0","40","25","3","5","false","1000","-2052399385","68","127","696","696","421","421"
"74","150","3","0","40","25","3","5","false","1000","500051659","79","131","869","869","488","488"
"73","150","3","0","40","25","3","5","false","1000","-1640563741","75","129","916","916","503","503"
"75","150","3","0","40","25","3","5","false","1000","2515351","71","135","864","864","496","496"
"76","150","3","0","40","25","3","5","false","1000","-824084809","80","134","948","948","557","557"
"77","150","3","0","40","25","3","5","false","1000","-2053153215","73","139","1020","1020","573","573"
"78","150","3","0","40","25","3","5","false","1000","108624562","73","132","848","848","498","498"
"79","150","3","0","40","25","3","5","false","1000","1038042263","73","132","881","881","517","517"
"80","150","3","0","40","25","3","5","false","1000","-1633200455","79","135","913","913","531","531"
"81","150","3","0","40","25","3","5","false","1000","-553612056","66","134","747","747","430","430"
"82","150","3","0","40","25","3","5","false","1000","1816168369","74","133","841","841","502","502"
"83","150","3","0","40","25","3","5","false","1000","-1577162419","81","139","1006","1006","566","566"
"84","150","3","0","40","25","3","5","false","1000","-252268728","75","138","938","938","544","544"
