"BehaviorSpace results (NetLogo 6.2.1)"
"abm_short_term_mating.nlogo"
"sa_likelihoodD_standardD_Ho"
"11/06/2022 11:35:58:994 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"1","150","3","0","40","25","3","5","true","1000","1352943153","143","65","1504","158","878","128"
"3","150","3","0","40","25","3","5","true","1000","-2059941210","135","50","1282","114","798","90"
"5","150","3","0","40","25","3","5","true","1000","-218777858","137","65","1380","214","882","162"
"2","150","3","0","40","25","3","5","true","1000","1852330224","138","71","1502","200","936","150"
"4","150","3","0","40","25","3","5","true","1000","-1709905671","139","63","1398","168","846","142"
"6","150","3","0","40","25","3","5","true","1000","1101525703","135","72","1166","194","732","162"
"7","150","3","0","40","25","3","5","true","1000","-328249637","130","66","1172","176","742","142"
"8","150","3","0","40","25","3","5","true","1000","1039595955","136","68","1384","190","842","150"
"9","150","3","0","40","25","3","5","true","1000","-357835665","139","62","1428","164","870","122"
"10","150","3","0","40","25","3","5","true","1000","-833703808","132","50","1214","112","766","84"
"11","150","3","0","40","25","3","5","true","1000","1770611466","140","62","1338","162","848","134"
"12","150","3","0","40","25","3","5","true","1000","-105581713","136","52","1242","130","770","104"
"13","150","3","0","40","25","3","5","true","1000","-419571190","137","70","1352","188","840","146"
"15","150","3","0","40","25","3","5","true","1000","-143148171","124","67","1022","214","626","164"
"14","150","3","0","40","25","3","5","true","1000","1107054460","142","72","1466","212","898","160"
"16","150","3","0","40","25","3","5","true","1000","1842971162","136","77","1302","214","820","176"
"19","150","3","0","40","25","3","5","true","1000","183489994","137","66","1392","174","874","144"
"17","150","3","0","40","25","3","5","true","1000","-1909965555","134","66","1374","148","824","126"
"18","150","3","0","40","25","3","5","true","1000","1669790862","137","57","1260","118","756","98"
"20","150","3","0","40","25","3","5","true","1000","-123727573","138","61","1276","144","806","120"
"21","150","3","0","40","25","3","5","true","1000","258391628","134","69","1368","220","822","166"
"22","150","3","0","40","25","3","5","true","1000","-26607371","137","59","1344","152","842","118"
"23","150","3","0","40","25","3","5","true","1000","1508908767","140","68","1474","164","848","130"
"24","150","3","0","40","25","3","5","true","1000","1364991323","139","64","1442","168","872","136"
"25","150","3","0","40","25","3","5","true","1000","854028202","131","60","1254","150","768","124"
"26","150","3","0","40","25","3","5","true","1000","-1688559640","131","49","1296","142","812","110"
"27","150","3","0","40","25","3","5","true","1000","1873699502","127","53","1146","118","750","96"
"28","150","3","0","40","25","3","5","true","1000","581545311","137","63","1314","144","796","124"
"29","150","3","0","40","25","3","5","true","1000","645540275","135","56","1320","170","816","114"
"30","150","3","0","40","25","3","5","true","1000","-915166731","135","64","1222","182","746","138"
"31","150","3","0","40","25","3","5","true","1000","484464760","128","54","1124","134","722","108"
"32","150","3","0","40","25","3","5","true","1000","-1820226470","135","72","1322","176","822","132"
"33","150","3","0","40","25","3","5","true","1000","957280551","136","58","1374","124","864","112"
"34","150","3","0","40","25","3","5","true","1000","486700764","136","70","1232","204","784","166"
"35","150","3","0","40","25","3","5","true","1000","648877653","138","64","1438","158","864","132"
"36","150","3","0","40","25","3","5","true","1000","1405540755","135","67","1216","180","782","140"
"37","150","3","0","40","25","3","5","true","1000","-33325186","141","58","1542","146","940","124"
"38","150","3","0","40","25","3","5","true","1000","-1034978031","135","58","1414","150","876","106"
"39","150","3","0","40","25","3","5","true","1000","-133602250","138","49","1310","118","804","94"
"40","150","3","0","40","25","3","5","true","1000","1308784906","137","56","1264","128","804","106"
"41","150","3","0","40","25","3","5","true","1000","-252911319","141","60","1442","136","924","110"
"42","150","3","0","40","25","3","5","true","1000","-690124929","136","54","1324","146","794","106"
"43","150","3","0","40","25","3","5","true","1000","583919161","134","61","1328","144","766","128"
"44","150","3","0","40","25","3","5","true","1000","2037557973","137","61","1400","178","794","132"
"45","150","3","0","40","25","3","5","true","1000","-884570071","138","61","1190","172","780","134"
"46","150","3","0","40","25","3","5","true","1000","-2016872890","135","75","1338","230","840","180"
"47","150","3","0","40","25","3","5","true","1000","995819894","136","54","1250","122","786","100"
"48","150","3","0","40","25","3","5","true","1000","-1090990708","131","48","1172","94","710","74"
"49","150","3","0","40","25","3","5","true","1000","-1271672390","141","61","1472","164","876","134"
"50","150","3","0","40","25","3","5","true","1000","-93683774","132","58","1200","166","744","134"
"51","150","3","0","40","25","3","5","true","1000","-187292588","129","69","1204","186","744","148"
"52","150","3","0","40","25","3","5","true","1000","2135392173","137","69","1424","168","860","142"
"53","150","3","0","40","25","3","5","true","1000","523520514","139","76","1372","206","852","166"
"54","150","3","0","40","25","3","5","true","1000","1983244173","134","69","1210","192","748","160"
"55","150","3","0","40","25","3","5","true","1000","2075497827","131","65","1174","218","740","156"
"56","150","3","0","40","25","3","5","true","1000","1283738813","140","59","1470","142","908","122"
"57","150","3","0","40","25","3","5","true","1000","1171685340","142","65","1292","178","834","138"
"58","150","3","0","40","25","3","5","true","1000","-1213595147","142","62","1508","174","950","136"
"59","150","3","0","40","25","3","5","true","1000","-1674462600","138","62","1404","144","868","116"
"60","150","3","0","40","25","3","5","true","1000","-1353220346","134","71","1230","202","780","170"
"61","150","3","0","40","25","3","5","true","1000","2114503351","138","59","1264","124","810","110"
"62","150","3","0","40","25","3","5","true","1000","-61435224","131","58","1294","144","810","110"
"63","150","3","0","40","25","3","5","true","1000","65807790","140","61","1202","138","796","120"
"64","150","3","0","40","25","3","5","true","1000","-707884701","133","61","1262","158","776","132"
"65","150","3","0","40","25","3","5","true","1000","-1026387037","143","60","1528","154","952","128"
"67","150","3","0","40","25","3","5","true","1000","1022747436","133","72","1156","182","728","140"
"66","150","3","0","40","25","3","5","true","1000","-1382492317","135","62","1310","168","830","140"
"68","150","3","0","40","25","3","5","true","1000","-925527817","135","60","1156","132","750","110"
"69","150","3","0","40","25","3","5","true","1000","2109703012","137","68","1402","168","816","136"
"70","150","3","0","40","25","3","5","true","1000","379562010","132","69","1226","232","804","184"
"71","150","3","0","40","25","3","5","true","1000","1929086533","136","66","1412","154","890","126"
"72","150","3","0","40","25","3","5","true","1000","1358106444","124","65","990","202","630","170"
"73","150","3","0","40","25","3","5","true","1000","1299260663","140","61","1396","136","866","122"
"74","150","3","0","40","25","3","5","true","1000","1545071018","131","67","1206","160","752","130"
"75","150","3","0","40","25","3","5","true","1000","-1985824700","137","72","1332","212","774","172"
"76","150","3","0","40","25","3","5","true","1000","1447608564","133","58","1378","142","838","122"
