"BehaviorSpace results (NetLogo 6.2.1)"
"abm_short_term_mating.nlogo"
"sa_likelihoodD_standardS_He"
"11/05/2022 12:44:40:504 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"2","150","3","0","40","25","5","5","false","1000","1056617724","74","77","495","495","276","276"
"1","150","3","0","40","25","5","5","false","1000","-2004306207","80","82","622","622","348","348"
"3","150","3","0","40","25","5","5","false","1000","1151780014","68","83","513","513","282","282"
"4","150","3","0","40","25","5","5","false","1000","-81850481","64","67","435","435","250","250"
"5","150","3","0","40","25","5","5","false","1000","-2077896406","67","77","445","445","251","251"
"6","150","3","0","40","25","5","5","false","1000","-132423326","73","70","502","502","268","268"
"10","150","3","0","40","25","5","5","false","1000","-1366731069","66","69","424","424","242","242"
"9","150","3","0","40","25","5","5","false","1000","-334387235","70","64","452","452","275","275"
"7","150","3","0","40","25","5","5","false","1000","-1227906191","75","81","537","537","310","310"
"8","150","3","0","40","25","5","5","false","1000","1461397324","69","83","484","484","294","294"
"11","150","3","0","40","25","5","5","false","1000","1670639895","79","70","466","466","267","267"
"12","150","3","0","40","25","5","5","false","1000","-1474987733","66","74","427","427","244","244"
"13","150","3","0","40","25","5","5","false","1000","-181621901","71","77","493","493","281","281"
"15","150","3","0","40","25","5","5","false","1000","-441646897","79","76","558","558","316","316"
"14","150","3","0","40","25","5","5","false","1000","-892563811","68","75","476","476","269","269"
"16","150","3","0","40","25","5","5","false","1000","-1631474410","60","73","402","402","247","247"
"17","150","3","0","40","25","5","5","false","1000","-529777748","73","71","504","504","286","286"
"18","150","3","0","40","25","5","5","false","1000","1548964205","78","84","584","584","331","331"
"19","150","3","0","40","25","5","5","false","1000","934905439","71","72","418","418","257","257"
"20","150","3","0","40","25","5","5","false","1000","-748845171","84","66","486","486","280","280"
"21","150","3","0","40","25","5","5","false","1000","1153351360","70","86","479","479","292","292"
"23","150","3","0","40","25","5","5","false","1000","1379235734","79","74","568","568","320","320"
"22","150","3","0","40","25","5","5","false","1000","-104175485","86","70","509","509","301","301"
"24","150","3","0","40","25","5","5","false","1000","1980021850","66","64","382","382","218","218"
"25","150","3","0","40","25","5","5","false","1000","853317878","67","71","482","482","271","271"
"26","150","3","0","40","25","5","5","false","1000","-1698537018","68","76","471","471","275","275"
"27","150","3","0","40","25","5","5","false","1000","856560085","71","70","458","458","286","286"
"28","150","3","0","40","25","5","5","false","1000","2036387628","69","73","490","490","288","288"
"29","150","3","0","40","25","5","5","false","1000","-1370409585","70","75","469","469","273","273"
"30","150","3","0","40","25","5","5","false","1000","-690503509","80","73","519","519","296","296"
"32","150","3","0","40","25","5","5","false","1000","-314337393","83","84","595","595","351","351"
"31","150","3","0","40","25","5","5","false","1000","1489617464","71","72","447","447","263","263"
"33","150","3","0","40","25","5","5","false","1000","-221626822","74","70","494","494","285","285"
"34","150","3","0","40","25","5","5","false","1000","-21308843","75","82","478","478","280","280"
"35","150","3","0","40","25","5","5","false","1000","1032520510","73","86","526","526","316","316"
"36","150","3","0","40","25","5","5","false","1000","1236329505","74","74","487","487","297","297"
"37","150","3","0","40","25","5","5","false","1000","1554593465","70","72","378","378","223","223"
"38","150","3","0","40","25","5","5","false","1000","133935352","75","69","438","438","271","271"
"39","150","3","0","40","25","5","5","false","1000","1608420936","65","72","439","439","244","244"
"40","150","3","0","40","25","5","5","false","1000","1412067025","77","75","492","492","296","296"
"41","150","3","0","40","25","5","5","false","1000","547321811","80","69","463","463","289","289"
"42","150","3","0","40","25","5","5","false","1000","-1638837495","67","69","456","456","261","261"
"43","150","3","0","40","25","5","5","false","1000","1038593534","75","77","545","545","307","307"
"44","150","3","0","40","25","5","5","false","1000","315392161","66","69","467","467","244","244"
"45","150","3","0","40","25","5","5","false","1000","7407106","83","73","596","596","323","323"
"46","150","3","0","40","25","5","5","false","1000","-1355783639","70","65","416","416","227","227"
"47","150","3","0","40","25","5","5","false","1000","-631687321","70","74","442","442","259","259"
"48","150","3","0","40","25","5","5","false","1000","-1766534508","69","79","470","470","286","286"
"49","150","3","0","40","25","5","5","false","1000","63390677","61","65","382","382","213","213"
"50","150","3","0","40","25","5","5","false","1000","223237074","67","81","482","482","284","284"
"51","150","3","0","40","25","5","5","false","1000","-327869245","67","67","443","443","255","255"
"52","150","3","0","40","25","5","5","false","1000","1347751907","68","58","332","332","192","192"
"53","150","3","0","40","25","5","5","false","1000","-2065888200","61","59","378","378","201","201"
"54","150","3","0","40","25","5","5","false","1000","807873855","63","72","392","392","234","234"
"55","150","3","0","40","25","5","5","false","1000","-1815627580","81","81","634","634","356","356"
"56","150","3","0","40","25","5","5","false","1000","-752928832","72","70","445","445","258","258"
"57","150","3","0","40","25","5","5","false","1000","-366432273","69","76","364","364","230","230"
"58","150","3","0","40","25","5","5","false","1000","-727588594","71","70","467","467","271","271"
"59","150","3","0","40","25","5","5","false","1000","-139582747","74","66","434","434","253","253"
"60","150","3","0","40","25","5","5","false","1000","-1386423959","69","65","389","389","219","219"
"61","150","3","0","40","25","5","5","false","1000","-1617476137","77","94","657","657","374","374"
"62","150","3","0","40","25","5","5","false","1000","126827623","75","83","593","593","330","330"
"63","150","3","0","40","25","5","5","false","1000","453965532","61","82","474","474","269","269"
"64","150","3","0","40","25","5","5","false","1000","-175231029","74","66","505","505","288","288"
"65","150","3","0","40","25","5","5","false","1000","793357525","72","76","469","469","270","270"
"66","150","3","0","40","25","5","5","false","1000","1442335012","71","74","475","475","270","270"
"67","150","3","0","40","25","5","5","false","1000","458527735","71","85","483","483","274","274"
"68","150","3","0","40","25","5","5","false","1000","-1449911072","76","71","498","498","270","270"
"69","150","3","0","40","25","5","5","false","1000","-676139683","72","51","349","349","190","190"
"70","150","3","0","40","25","5","5","false","1000","432565384","69","75","436","436","256","256"
"71","150","3","0","40","25","5","5","false","1000","163851000","76","68","425","425","258","258"
"72","150","3","0","40","25","5","5","false","1000","1601938697","81","84","643","643","366","366"
"73","150","3","0","40","25","5","5","false","1000","285814902","77","71","502","502","274","274"
"74","150","3","0","40","25","5","5","false","1000","-591659620","72","74","541","541","295","295"
"75","150","3","0","40","25","5","5","false","1000","-117087884","81","64","560","560","334","334"
"76","150","3","0","40","25","5","5","false","1000","1294043690","77","75","489","489","285","285"
"77","150","3","0","40","25","5","5","false","1000","1109148079","76","85","573","573","333","333"
"78","150","3","0","40","25","5","5","false","1000","691130960","63","74","430","430","243","243"
"79","150","3","0","40","25","5","5","false","1000","-1853719254","72","78","491","491","294","294"
"80","150","3","0","40","25","5","5","false","1000","1417140878","78","74","532","532","300","300"
"81","150","3","0","40","25","5","5","false","1000","-757475562","71","80","509","509","287","287"
"82","150","3","0","40","25","5","5","false","1000","490229493","75","69","588","588","310","310"
"83","150","3","0","40","25","5","5","false","1000","-808629420","72","71","463","463","269","269"
"84","150","3","0","40","25","5","5","false","1000","-2077574035","78","71","471","471","278","278"
"85","150","3","0","40","25","5","5","false","1000","-1815083115","78","70","466","466","260","260"
"86","150","3","0","40","25","5","5","false","1000","-2019646204","60","70","351","351","208","208"
"87","150","3","0","40","25","5","5","false","1000","-1392198574","88","74","567","567","331","331"
"88","150","3","0","40","25","5","5","false","1000","1262081879","72","79","472","472","271","271"
"89","150","3","0","40","25","5","5","false","1000","1092736093","66","79","460","460","268","268"
"90","150","3","0","40","25","5","5","false","1000","-1193616335","76","68","440","440","264","264"
"91","150","3","0","40","25","5","5","false","1000","-871508161","82","72","530","530","312","312"
"92","150","3","0","40","25","5","5","false","1000","1625529499","71","80","428","428","267","267"
"93","150","3","0","40","25","5","5","false","1000","-1194465196","71","68","457","457","255","255"
"94","150","3","0","40","25","5","5","false","1000","334343030","87","86","588","588","341","341"
"95","150","3","0","40","25","5","5","false","1000","-546441984","69","77","479","479","279","279"
"96","150","3","0","40","25","5","5","false","1000","-1086727707","71","72","494","494","277","277"
"97","150","3","0","40","25","5","5","false","1000","-843539431","84","66","532","532","302","302"
"98","150","3","0","40","25","5","5","false","1000","1638059955","69","74","459","459","260","260"
"99","150","3","0","40","25","5","5","false","1000","-1218035386","77","72","522","522","299","299"
"100","150","3","0","40","25","5","5","false","1000","568936581","79","66","416","416","243","243"
"101","150","3","2","40","25","5","5","false","1000","-79659025","55","69","205","205","126","126"
"102","150","3","2","40","25","5","5","false","1000","-1757024856","50","59","224","224","121","121"
"103","150","3","2","40","25","5","5","false","1000","950571612","54","58","187","187","129","129"
"104","150","3","2","40","25","5","5","false","1000","-174154291","53","55","199","199","117","117"
"105","150","3","2","40","25","5","5","false","1000","-2003234808","67","61","246","246","162","162"
"106","150","3","2","40","25","5","5","false","1000","-1740123582","61","65","218","218","143","143"
"107","150","3","2","40","25","5","5","false","1000","-1323251107","53","57","192","192","119","119"
"108","150","3","2","40","25","5","5","false","1000","996807331","64","64","231","231","146","146"
"109","150","3","2","40","25","5","5","false","1000","1147279","55","62","184","184","118","118"
"110","150","3","2","40","25","5","5","false","1000","1414565742","63","61","206","206","142","142"
"111","150","3","2","40","25","5","5","false","1000","-1644104564","63","51","219","219","127","127"
"112","150","3","2","40","25","5","5","false","1000","1302644369","58","60","186","186","124","124"
"113","150","3","2","40","25","5","5","false","1000","1995979295","63","61","213","213","134","134"
"114","150","3","2","40","25","5","5","false","1000","-516201230","64","55","228","228","125","125"
"115","150","3","2","40","25","5","5","false","1000","-1365032421","57","65","225","225","145","145"
"116","150","3","2","40","25","5","5","false","1000","-733619311","66","58","226","226","143","143"
"117","150","3","2","40","25","5","5","false","1000","-838721576","60","57","218","218","131","131"
"118","150","3","2","40","25","5","5","false","1000","-263153722","67","61","225","225","146","146"
"119","150","3","2","40","25","5","5","false","1000","659762296","64","56","209","209","134","134"
"120","150","3","2","40","25","5","5","false","1000","674943433","70","65","246","246","158","158"
"121","150","3","2","40","25","5","5","false","1000","798578067","58","63","186","186","118","118"
"122","150","3","2","40","25","5","5","false","1000","1522270400","71","59","222","222","154","154"
"123","150","3","2","40","25","5","5","false","1000","58737817","54","59","193","193","118","118"
"124","150","3","2","40","25","5","5","false","1000","964157422","50","53","156","156","104","104"
"125","150","3","2","40","25","5","5","false","1000","769519456","64","59","217","217","124","124"
"126","150","3","2","40","25","5","5","false","1000","1582439577","54","56","171","171","113","113"
"127","150","3","2","40","25","5","5","false","1000","-2026604833","61","60","197","197","116","116"
"128","150","3","2","40","25","5","5","false","1000","235297888","62","60","196","196","132","132"
"129","150","3","2","40","25","5","5","false","1000","-1851788303","73","70","280","280","173","173"
"130","150","3","2","40","25","5","5","false","1000","245720119","62","58","205","205","136","136"
"131","150","3","2","40","25","5","5","false","1000","733020311","51","56","159","159","106","106"
"133","150","3","2","40","25","5","5","false","1000","-1932902886","60","70","266","266","153","153"
"132","150","3","2","40","25","5","5","false","1000","-850851240","52","59","195","195","119","119"
"134","150","3","2","40","25","5","5","false","1000","-2000087012","60","58","191","191","123","123"
"135","150","3","2","40","25","5","5","false","1000","-1248426300","66","59","213","213","135","135"
"136","150","3","2","40","25","5","5","false","1000","1131211964","62","53","210","210","120","120"
"138","150","3","2","40","25","5","5","false","1000","-1860627325","72","63","257","257","167","167"
"137","150","3","2","40","25","5","5","false","1000","-1784980445","55","61","194","194","130","130"
"139","150","3","2","40","25","5","5","false","1000","-2121883014","55","60","198","198","128","128"
"140","150","3","2","40","25","5","5","false","1000","30668286","77","69","254","254","175","175"
"141","150","3","2","40","25","5","5","false","1000","1975383285","64","56","179","179","119","119"
"142","150","3","2","40","25","5","5","false","1000","-1431272179","65","62","244","244","151","151"
"143","150","3","2","40","25","5","5","false","1000","1657979290","54","46","147","147","100","100"
"144","150","3","2","40","25","5","5","false","1000","-847877937","65","63","217","217","141","141"
