"BehaviorSpace results (NetLogo 6.2.1)"
"abm_short_term_mating.nlogo"
"sa_likelihoodD_standardS_Ho"
"11/06/2022 13:43:20:833 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"3","150","3","0","40","25","5","5","true","1000","1262967033","83","58","442","122","294","104"
"2","150","3","0","40","25","5","5","true","1000","-573913344","86","59","582","138","370","106"
"1","150","3","0","40","25","5","5","true","1000","898775066","65","65","410","198","230","162"
"4","150","3","0","40","25","5","5","true","1000","-200436981","78","57","444","162","276","126"
"5","150","3","0","40","25","5","5","true","1000","694578731","80","74","480","214","300","170"
"6","150","3","0","40","25","5","5","true","1000","675574615","79","61","516","152","324","122"
"7","150","3","0","40","25","5","5","true","1000","359191330","77","73","344","184","230","154"
"8","150","3","0","40","25","5","5","true","1000","887314263","63","60","346","154","224","128"
"9","150","3","0","40","25","5","5","true","1000","2016264244","74","60","352","142","228","126"
"10","150","3","0","40","25","5","5","true","1000","-2097983959","84","62","476","138","302","112"
"12","150","3","0","40","25","5","5","true","1000","774353226","69","52","358","120","218","92"
"11","150","3","0","40","25","5","5","true","1000","-1217080511","82","56","516","154","308","118"
"13","150","3","0","40","25","5","5","true","1000","-1312261251","81","57","468","152","284","120"
"14","150","3","0","40","25","5","5","true","1000","-1099591027","68","71","388","168","226","130"
"15","150","3","0","40","25","5","5","true","1000","-1144179400","72","67","426","154","272","120"
"16","150","3","0","40","25","5","5","true","1000","-1829616807","80","59","530","134","320","112"
"17","150","3","0","40","25","5","5","true","1000","-699790049","77","65","418","182","260","144"
"18","150","3","0","40","25","5","5","true","1000","604299635","70","77","326","220","214","178"
"19","150","3","0","40","25","5","5","true","1000","-1889741668","82","69","600","192","366","154"
"20","150","3","0","40","25","5","5","true","1000","1373538332","68","73","342","204","218","162"
"21","150","3","0","40","25","5","5","true","1000","-414195799","65","69","280","208","178","162"
"22","150","3","0","40","25","5","5","true","1000","-414590511","74","66","392","154","242","130"
"23","150","3","0","40","25","5","5","true","1000","-437863684","70","56","388","156","224","128"
"24","150","3","0","40","25","5","5","true","1000","1686312346","78","82","400","228","260","188"
"25","150","3","0","40","25","5","5","true","1000","-808723849","68","74","278","188","190","148"
"26","150","3","0","40","25","5","5","true","1000","-254132446","71","64","386","182","256","150"
"27","150","3","0","40","25","5","5","true","1000","-1742203547","74","56","418","152","266","124"
"28","150","3","0","40","25","5","5","true","1000","776860617","69","59","286","152","212","120"
"29","150","3","0","40","25","5","5","true","1000","-2042049779","73","62","398","130","250","104"
"30","150","3","0","40","25","5","5","true","1000","-1605435587","82","58","518","148","328","130"
"31","150","3","0","40","25","5","5","true","1000","-188643275","72","60","348","128","212","110"
"32","150","3","0","40","25","5","5","true","1000","-1765686664","68","62","322","138","208","118"
"34","150","3","0","40","25","5","5","true","1000","-736140286","78","64","412","168","270","134"
