"BehaviorSpace results (NetLogo 6.2.1)"
"abm_short_term_mating.nlogo"
"sa_likelihoodS_standardD_Ho"
"11/06/2022 15:31:37:200 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"3","150","3","0","25","25","3","5","true","1000","-1152450734","124","65","494","156","422","122"
"2","150","3","0","25","25","3","5","true","1000","-540428562","133","56","526","120","424","100"
"4","150","3","0","25","25","3","5","true","1000","-1861437565","131","57","524","132","410","118"
"1","150","3","0","25","25","3","5","true","1000","-625602878","135","78","582","194","478","164"
"8","150","3","0","25","25","3","5","true","1000","8220732","123","58","458","142","392","112"
"5","150","3","0","25","25","3","5","true","1000","-1816686248","125","45","438","100","366","82"
"6","150","3","0","25","25","3","5","true","1000","441181572","133","64","500","178","398","132"
"7","150","3","0","25","25","3","5","true","1000","-1434619638","117","63","446","174","362","138"
"9","150","3","0","25","25","3","5","true","1000","1665485100","123","57","478","132","388","104"
"10","150","3","0","25","25","3","5","true","1000","95819435","132","63","544","172","460","126"
"12","150","3","0","25","25","3","5","true","1000","1846038806","134","69","524","158","426","124"
"11","150","3","0","25","25","3","5","true","1000","1954697160","129","71","496","182","412","152"
"13","150","3","0","25","25","3","5","true","1000","-1041225746","129","66","480","200","388","170"
"14","150","3","0","25","25","3","5","true","1000","846708033","130","71","450","186","378","148"
"15","150","3","0","25","25","3","5","true","1000","-216379662","121","63","420","158","338","130"
"16","150","3","0","25","25","3","5","true","1000","-504027299","135","61","568","178","438","146"
"17","150","3","0","25","25","3","5","true","1000","1689024951","132","61","544","164","452","132"
"18","150","3","0","25","25","3","5","true","1000","1545478363","130","66","504","160","402","138"
"19","150","3","0","25","25","3","5","true","1000","-446381636","133","75","472","196","380","160"
"20","150","3","0","25","25","3","5","true","1000","1673177175","128","47","504","110","430","88"
"21","150","3","0","25","25","3","5","true","1000","-440706368","123","83","460","226","388","180"
"22","150","3","0","25","25","3","5","true","1000","2044855994","132","64","522","146","430","116"
"23","150","3","0","25","25","3","5","true","1000","-595244230","128","62","554","146","450","122"
