"BehaviorSpace results (NetLogo 6.2.1)"
"abm_short_term_mating.nlogo"
"sa_likelihoodS_standardS_He"
"11/05/2022 22:15:35:410 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"2","150","3","0","25","25","5","5","false","1000","1111029001","66","76","291","291","201","201"
"1","150","3","0","25","25","5","5","false","1000","963399074","69","79","316","316","218","218"
"3","150","3","0","25","25","5","5","false","1000","1754212571","71","61","285","285","190","190"
"4","150","3","0","25","25","5","5","false","1000","-506447333","74","72","332","332","220","220"
"5","150","3","0","25","25","5","5","false","1000","-1339392449","79","66","303","303","216","216"
"7","150","3","0","25","25","5","5","false","1000","1744004590","75","74","290","290","207","207"
"6","150","3","0","25","25","5","5","false","1000","-307472699","75","69","299","299","211","211"
"9","150","3","0","25","25","5","5","false","1000","-686827686","71","68","306","306","221","221"
"8","150","3","0","25","25","5","5","false","1000","-1790001070","71","53","254","254","182","182"
"10","150","3","0","25","25","5","5","false","1000","1450807793","71","64","309","309","204","204"
"11","150","3","0","25","25","5","5","false","1000","-376594478","76","71","281","281","195","195"
"13","150","3","0","25","25","5","5","false","1000","-1005243264","70","79","365","365","246","246"
"12","150","3","0","25","25","5","5","false","1000","2111527290","81","63","306","306","217","217"
"14","150","3","0","25","25","5","5","false","1000","1515526380","57","61","196","196","143","143"
"15","150","3","0","25","25","5","5","false","1000","-1804486622","66","70","284","284","200","200"
"16","150","3","0","25","25","5","5","false","1000","1152240835","71","73","308","308","220","220"
"17","150","3","0","25","25","5","5","false","1000","-97280565","65","63","225","225","160","160"
"19","150","3","0","25","25","5","5","false","1000","1335324559","62","64","229","229","153","153"
"18","150","3","0","25","25","5","5","false","1000","75512623","70","62","269","269","178","178"
"20","150","3","0","25","25","5","5","false","1000","631538088","80","66","297","297","207","207"
"21","150","3","0","25","25","5","5","false","1000","-2020883986","75","71","320","320","213","213"
"22","150","3","0","25","25","5","5","false","1000","-164358474","79","76","373","373","255","255"
"24","150","3","0","25","25","5","5","false","1000","1813551688","72","67","279","279","197","197"
"23","150","3","0","25","25","5","5","false","1000","2127937644","72","74","297","297","211","211"
"25","150","3","0","25","25","5","5","false","1000","-1385624320","72","73","335","335","222","222"
"26","150","3","0","25","25","5","5","false","1000","2043723178","64","69","293","293","192","192"
"27","150","3","0","25","25","5","5","false","1000","-1250501077","78","80","373","373","267","267"
"29","150","3","0","25","25","5","5","false","1000","-1432370101","76","66","334","334","221","221"
"28","150","3","0","25","25","5","5","false","1000","-1400655594","69","76","338","338","216","216"
"30","150","3","0","25","25","5","5","false","1000","-992195714","74","71","319","319","219","219"
"31","150","3","0","25","25","5","5","false","1000","1695366494","73","81","336","336","240","240"
"33","150","3","0","25","25","5","5","false","1000","-1849115286","82","72","297","297","222","222"
"32","150","3","0","25","25","5","5","false","1000","-618104527","70","67","288","288","200","200"
"35","150","3","0","25","25","5","5","false","1000","291968221","79","78","397","397","270","270"
"34","150","3","0","25","25","5","5","false","1000","322828756","77","69","322","322","224","224"
"36","150","3","0","25","25","5","5","false","1000","1061710801","70","67","311","311","204","204"
"37","150","3","0","25","25","5","5","false","1000","-368682554","67","64","268","268","192","192"
"38","150","3","0","25","25","5","5","false","1000","-1608264394","80","69","334","334","223","223"
"40","150","3","0","25","25","5","5","false","1000","-911748776","78","76","388","388","263","263"
"39","150","3","0","25","25","5","5","false","1000","200229917","69","65","250","250","169","169"
"41","150","3","0","25","25","5","5","false","1000","2105097096","72","66","286","286","198","198"
"43","150","3","0","25","25","5","5","false","1000","1806622119","76","68","306","306","214","214"
"42","150","3","0","25","25","5","5","false","1000","-1774299632","82","64","329","329","221","221"
"44","150","3","0","25","25","5","5","false","1000","1250324511","63","64","247","247","172","172"
"45","150","3","0","25","25","5","5","false","1000","-745906677","69","81","309","309","213","213"
"46","150","3","0","25","25","5","5","false","1000","-1703341604","71","71","272","272","193","193"
"47","150","3","0","25","25","5","5","false","1000","2039934724","70","72","283","283","202","202"
"49","150","3","0","25","25","5","5","false","1000","1964471185","81","73","314","314","225","225"
"48","150","3","0","25","25","5","5","false","1000","-385725347","64","70","278","278","174","174"
"50","150","3","0","25","25","5","5","false","1000","-724632953","64","73","333","333","217","217"
"51","150","3","0","25","25","5","5","false","1000","-234301621","70","75","324","324","223","223"
"52","150","3","0","25","25","5","5","false","1000","-293907505","60","60","220","220","156","156"
"53","150","3","0","25","25","5","5","false","1000","985399746","77","72","342","342","220","220"
"54","150","3","0","25","25","5","5","false","1000","-1058378631","73","67","286","286","181","181"
"55","150","3","0","25","25","5","5","false","1000","377700246","75","75","328","328","235","235"
"56","150","3","0","25","25","5","5","false","1000","1587307416","68","66","314","314","211","211"
"57","150","3","0","25","25","5","5","false","1000","606028253","66","69","271","271","178","178"
"60","150","3","0","25","25","5","5","false","1000","-402889508","64","67","248","248","169","169"
