"BehaviorSpace results (NetLogo 6.2.1)"
"abm_short_term_mating.nlogo"
"sa_likelihoodS_standardS_Ho"
"11/06/2022 18:30:43:504 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"3","150","3","0","25","25","5","5","true","1000","-448337273","62","78","152","248","120","208"
"2","150","3","0","25","25","5","5","true","1000","-1630509238","54","61","154","166","120","126"
"1","150","3","0","25","25","5","5","true","1000","-1407922963","56","69","104","218","92","170"
"4","150","3","0","25","25","5","5","true","1000","-316928080","50","66","104","214","86","172"
"5","150","3","0","25","25","5","5","true","1000","1086119385","68","51","178","106","150","88"
"6","150","3","0","25","25","5","5","true","1000","1407823886","53","67","150","192","106","150"
"7","150","3","0","25","25","5","5","true","1000","1269860283","73","44","202","104","158","80"
"8","150","3","0","25","25","5","5","true","1000","-313167042","57","56","138","118","108","98"
"10","150","3","0","25","25","5","5","true","1000","213526080","75","63","216","148","158","132"
"9","150","3","0","25","25","5","5","true","1000","-1017013089","73","75","206","200","164","162"
"11","150","3","0","25","25","5","5","true","1000","241190000","63","61","150","142","128","108"
"12","150","3","0","25","25","5","5","true","1000","-1550381515","54","57","136","104","112","94"
"13","150","3","0","25","25","5","5","true","1000","-2028118412","60","57","122","150","108","120"
"14","150","3","0","25","25","5","5","true","1000","806479802","50","70","122","216","90","168"
"15","150","3","0","25","25","5","5","true","1000","-2146435823","56","71","150","200","118","156"
"16","150","3","0","25","25","5","5","true","1000","200912535","63","58","148","146","122","118"
"17","150","3","0","25","25","5","5","true","1000","-773159222","52","57","134","156","110","120"
"18","150","3","0","25","25","5","5","true","1000","398413227","64","72","162","186","140","154"
